date,id,jansi_type,jansi_english_name,jansi_gujarati_name,arrival,lowrate,highrate,month,year,avg_rate
2025-01-03,87569,grain,Castor seed,એરંડા,0.005434782608695653,1187,1230,1,2025,0.1070823927765237
2025-01-03,87570,grain,Thymol,અજમો,6.521739130434783e-05,1680,1680,1,2025,0.15142964635063955
2025-01-03,87571,grain,Soyabin,સોયાબીન,0.0391304347826087,805,840,1,2025,0.07077689992475546
2025-01-03,87572,grain,Groundnut-Fada,સીંગફાડા,0.018260869565217393,1040,1290,1,2025,0.10299097065462753
2025-01-03,87573,grain,Sesmum-Black,કાળા તલ ,0.0015217391304347828,3400,4860,1,2025,0.3818660647103085
2025-01-03,87574,grain,Garlic,લસણ,0.00923913043478261,1611,3511,1,2025,0.23429270127915724
2025-01-03,87575,grain,Corriander,ધાણા,0.005434782608695653,1051,1515,1,2025,0.1140895410082769
2025-01-03,87576,grain,Chillies,મરચા સુકા ,0.004347826086956522,900,2430,1,2025,0.15001881113619261
2025-01-03,87577,grain,Dhani,ધાણી,0.0032608695652173916,1440,1535,1,2025,0.133323927765237
2025-01-03,87578,grain,Variyali,વરીયાળી,0.0015217391304347828,1150,1632,1,2025,0.12424755455229496
2025-01-03,87579,grain,Cummin,જીરૂ,0.016956521739130436,4150,4551,1,2025,0.4026053423626787
2025-01-03,87580,grain,Mustard,રાય,0.0004347826086956522,1020,1195,1,2025,0.09758276899924755
2025-01-03,87581,grain,Fenugreek,મેથી,0.0027173913043478264,960,1116,1,2025,0.09104589917231
2025-01-03,87582,grain,kalonji,કલોંજી,0.0006521739130434783,3500,3700,1,2025,0.3320165537998495
2025-01-03,87583,grain,Mustard seed,રાયડો,0.0017391304347826088,1000,1100,1,2025,0.09217456734386757
2025-01-03,87584,grain,Rajkoo Bee,રજકાનું બી ,8.695652173913044e-05,3650,4250,1,2025,0.364936042136945
2025-01-03,87585,grain,Guvar Bee,ગુવારનું બી,0.0004347826086956522,980,1005,1,2025,0.08676636568848758
2025-01-04,87621,grain,Cotton B.T.,કપાસ બી.ટી.,0.05652173913043479,1350,1515,1,2025,0.12815086531226486
2025-01-04,87622,grain,Wheat Lokvan,ઘઉં લોકવન,0.0023913043478260873,586,629,1,2025,0.050554928517682465
2025-01-04,87623,grain,Wheat Tukda,ઘઉં ટુકડા,0.016304347826086956,601,671,1,2025,0.05323551542513168
2025-01-04,87624,grain,Jowar White,જુવાર સફેદ,0.005869565217391305,780,868,1,2025,0.07091798344620015
2025-01-04,87625,grain,Bajri,બાજરી,0.0004347826086956522,350,550,1,2025,0.03574115876598947
2025-01-04,87626,grain,Tuver,તુવેર,0.005434782608695653,1350,1805,1,2025,0.14178893905191872
2025-01-04,87627,grain,Gram Yellow,ચણા પીળા,0.007608695652173913,1060,1284,1,2025,0.10364936042136945
2025-01-04,87628,grain,Gram White,ચણા સફેદ,0.0032608695652173916,1800,2656,1,2025,0.2029721595184349
2025-01-04,87629,grain,Urad,અડદ,0.006521739130434783,1060,1660,1,2025,0.12133182844243791
2025-01-04,87630,grain,Mung,મગ,0.009217391304347827,1350,1835,1,2025,0.14319977426636568
2025-01-04,87631,grain,Val Deshi,વાલ દેશી,0.0002173913043478261,1200,1600,1,2025,0.1250940556809631
2025-01-04,87632,grain,Choli,ચોળી,0.0009782608695652175,1460,2450,1,2025,0.17729495861550035
2025-01-04,87633,grain,Math,મઠ,0.008695652173913044,840,1251,1,2025,0.09175131677953348
2025-01-04,87634,grain,Kulthi,કળથી,0.0013478260869565217,875,1080,1,2025,0.08535553047404063
2025-01-04,87635,grain,Groundnut Seed,સીંગદાણા,0.0007608695652173914,1279,1369,1,2025,0.11794582392776523
2025-01-04,87636,grain,Groundnut Big,મગફળી જાડી,0.0,915,1153,1,2025,0.09066967644845748
